,Verification Status,review,sentiment
0,Trip Verified,i like the british airways world traveller plus product the seats are comfy and the food is good the crew on this flight were very attentive and friendly especially the csm who came round and introduced herself to us and made sure we were comfortable the bars closed half way through the flight to cancun as they can t uplift more alcoholic drinks in cancun juice water tea and coffee is available very full flight my only criticisms of british airways premium economy is that it feels like they actively try and split families up unless they pay the each to pre book seats the majority of drinks are served in plastic not glass there were no inflight snacks available on an hour flight it s an upgraded version of economy where as other airlines like qantas and singapore airlines are business minus still worth the extra though,positive
1,Trip Verified,i have come to boarding and my cabin luggage was taken because the plane is full i asked to take it to the cabin because i have large notebook and electronics in it but nothing changes so now i am sitting in the plane holding notebook and several packs from my luggage and think of how i will stand with all this stuff in my hands in a passport control line in warsaw other people around me have come to the plane with cabin luggage,positive
2,Trip Verified,stinking nappies being changed in business cabin throughout flight to miami four of us from one family were travelling british airways business i am a british airways gold card member i have been a member of british airways executive club since we only ever fly british airways in first class or business class it has become a habit to fly ba and we do this because we trust them for safety we have regular long haul flights booked with british airways in both first and business into next year we often fly to the usa both my wife and i used to have virgin atlantic gold cards however we sadly returned to ba because virgin did not have a first class seat product even so the service from virgin s gold card department was off the scale absolutely brilliant and we loved the virgin lounge at heathrow our flight to miami with british airways was on one of their double decker aircraft these are just too big and i believe contributed to the appalling service perhaps familiarity breeds contempt however whether in business or first i now view ba aircraft as just being dirty buses in the sky the food is not much better however our flight was distinguished by the smell of poo throughout the journey caused by mothers of babies changing nappies within the business class cabin instead of doing it where they should be doing it in the wc try enjoying lunch with a glass of wine with air around permeated by the smell of poo there must have been three or four babies having nappies changed regularly in our cabin i can put up with the screaming because that can t be helped but not poo cabin crew did nothing about it despite being asked i telephoned ba customer services and ended up speaking to a lady in manchester ba office who told me that she was ba cabin crew for many years she told me that changing nappies in the cabin should not be allowed that it is completely unacceptable and particularly awful while passengers are trying to enjoy a meal my wife and i are flying first class british airways again to the usa in april and we also have first class tickets to the usa booked for december i sent in a complaint to ba customer relations on behalf of all four members of my family who travelled british airways on december to miami from lhr and had to put up with the disgusting smells which at times were quite dreadful i received a response offering a voucher or avios so given the cost of four business class flights to miami from london british airways value the loss of enjoyment through travelling in a stinking cabin at per passenger given that i am a gold card holder an extremely good customer clearly in the top one percent of all ba customers and a gold cardholder if that is how they behave with me god knows how they behave with everybody else all i can tell you is that flying with virgin atlantic when i was a gold member was highly positive when our children were young we used to fly ba first class at times and we would not dream of changing a nappy in the cabin not in any cabin when i complained to british airways i asked them if changing of nappies in first class would be allowed during dinner service and they ignored the question i have numerous business class flights booked with ba over the course of the next months as well as first class flight booked,positive
3,Trip Verified,worst service ever lost baggage because of delayed flight and missed connection and no one is helping to get it back british airways website is broken so it doesn t let me fill missing report and doesn t give me missing file report number and so no way to contact british airways because they have dumbest ever ai chatbot,negative
4,Trip Verified,ba jan did not appreciate the unprofessional attitude of the pilots flight scheduled departure advised boarding time whole flight full of passengers waiting at the gate to board at the cabin crew board the pilots board each with a sao paulo airport duty free branded shopping bag the flight is still boarding finally pushes back just before minutes late captain came on the intercom to announce the delay was due to traffic between the crew hotel and the airport sorry captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for,positive
5,Trip Verified,not a great experience i could not check in online as two separate parts of the ba computer system do not talk to each other at lhr a delightful check in clerk sorted it quickly manually we boarded on time but luggage loading had to be halted as the captain spotted a technical issue and an engineer was called by the time it was sorted we had missed our slot so took off an hour behind schedule the flight was uneventful but the plane had clearly seen better days legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying ba meant something special next time it will be jet,positive
9,Trip Verified,the plane was extremely dirty with chocolate smudged all over mine and my childrens seats i had to wipe down all the seats after we landed i immediately realized i left my camera with its bag in the airplane overhead cabin they would not let me back on the plane for security reasons so i went to the british airways team on ground they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked now its been over weeks with no sign of my camera so it is assumed stolen i have complained to british airways and all i get is an automatedgeneric response to keep checking with lost property zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning very disappointed,negative
11,Trip Verified,overall very satisfied ground staff member at yvr was extremely helpful courteous a was only a few months old so seats were in good order comfortable by the standards of a modern day y class seat although the very small washroom was already starting to look a bit shabby cabin crew very friendly professional meal service carried out at reasonable time in the flight choice of options for the main meal which was the same for both legs of my journey month apart flight departed on time but unfortunately upon landing at lhr we were unable to deplane for quite some time due to a staffing issue at lhr which so not the fault of the airline and we were given frequent updates on the situation from the flight manager the flight deck,positive
12,Trip Verified,as always when i fly ba it was a total shambles i was booked manchester london madrid ba first leg and iberia nd i try wherever possible to avoid ba however the manchester london was late however i ran for my ib flight and got to b gates just as boarding started being group i went to board and the gate sounded an alarm ba had removed me from the ib flight to a ba flight hours later as ba had reissued the ticket ib could not put me back on the flight so hours wasted because of ba s total incompetence this airline is a total disgrace the crew were not nice typical ba crew oh im so fabulous i dont need to be nice to paying passengers club europe cramped and terrible food,positive
13,Trip Verified,first time using ba business class but we were pleased with the service received no one was waiting at check inbag drop and through security in minutes we used the lounge in the b gates area which we found quiet with plenty of food and drink on offer boarding was quick and the cabin was on a x x layout with seats although there was a larger bc cabin behind that had about seats again food and drinks were plenty full and good quality service from the cabin crew was excellent and the cabin manager lauren even made up a birthday card when she found out it was my wife s special birthday departed early and arrived at jfk early as well the only thing that i disliked was paying each to select our seats and no free wifi,positive
